qr,name_en,notes_en,name_zh-tw,notes_zh-tw,name_zh-cn,notes_zh-cn,name_ja,notes_ja,name_ko,notes_ko
lu-01-aurum,Aurum,A warm amber halo that hovers just above the threshold of the first floor.,金光,"一圈溫暖的琥珀色光環,懸浮在一樓入口的門檻之上。",金光,"一圈温暖的琥珀色光环,悬浮在一楼入口的门槛之上。",金の灯,一階の入口にぼんやりと浮かぶ、暖かな琥珀色のヘイロー。,금빛,1층 입구 위에 잔잔히 떠 있는 따스한 호박빛 헤일로.
lu-02-ember,Ember,"A small, slow-pulsing core that reads almost candle-like at arm's length.",餘燼,"一顆緩緩搏動的小光核,湊近看像是一支待燃的燭火。",余烬,"一颗缓缓搏动的小光核,凑近看像是一支待燃的烛火。",残り火,ゆっくりと脈打つ小さな核、近づくと燭の灯にそっくり。,잔불,"천천히 박동하는 작은 빛의 알갱이, 가까이 가면 촛불처럼 보입니다."
lu-03-laurel,Laurel,"Concentric rings tuned to a low amber, spaced like growth marks on a slow tree.",桂環,"層層相疊的同心環,色調沉靜,像一棵慢慢長大的樹的年輪。",桂环,"层层相叠的同心环,色调沉静,像一棵慢慢长大的树的年轮。",ローレル,落ち着いた琥珀の同心円が、ゆっくり育つ木の年輪のように重なる。,월계,"차분한 호박빛으로 겹쳐 있는 동심원, 천천히 자란 나무의 나이테 같습니다."
lu-04-petal,Petal,Four soft lobes of rose light radiating from a still centre.,花瓣,"四片柔軟的玫瑰色光瓣,自一個寧靜的核心向外舒展。",花瓣,"四片柔软的玫瑰色光瓣,自一个宁静的核心向外舒展。",花びら,静かな中心から、薔薇色のやわらかな四枚の花びらが広がる。,꽃잎,고요한 중심에서 장미빛 부드러운 네 장의 잎이 펼쳐집니다.
lu-05-mote,Mote,A scatter of small bright points — easy to miss until you lower the lights.,微塵,"幾粒散落的明亮小點;將燈調暗,才會逐一現身。",微尘,"几粒散落的明亮小点;将灯调暗,才会逐一现身。",塵の灯,小さな光点が散らばる。灯りを落とすと初めて姿を現す。,먼지빛,"작은 밝은 점들이 흩어져 있어, 조명을 낮추어야 비로소 모습을 드러냅니다."
lu-06-bloom,Bloom,"Six radiating arms emerge in turn, settling into a steady glow.",綻放,"六道光臂依序伸展,最後停在一片穩定的光暈。",绽放,"六道光臂依序伸展,最后停在一片稳定的光晕。",ブルーム,六本の光の腕が順に伸びきり、やがて穏やかな輝きへ落ち着く。,블룸,"여섯 갈래의 빛이 차례로 뻗어 나가, 결국 잔잔한 빛으로 가라앉습니다."
lu-07-tide,Tideline,Cool rings hold the water's memory of the harbour outside the venue.,潮線,"清涼的同心環,留著場館外港灣海水的記憶。",潮线,"清凉的同心环,留着场馆外港湾海水的记忆。",潮目,ひんやりとした輪が、会場の外にある港の水の記憶を抱える。,조수선,차가운 고리들이 전시장 밖 항구의 물 기억을 담고 있습니다.
lu-08-mirage,Mirage,Three layered waves pass through one another like distant heat haze.,海市,"三層波浪互相穿越,有如遠方夏日的熱氣折射。",海市,"三层波浪互相穿越,有如远方夏日的热气折射。",蜃気楼,三本の波が重なり抜けて、遠い夏の陽炎のように揺らぐ。,신기루,"세 겹의 물결이 서로를 통과하며, 먼 여름날의 아지랑이처럼 흔들립니다."
lu-09-comet,Comet,"A leading orb traces a long, slow arc, leaving a soft cyan tail behind it.",彗星,"前端的光球緩緩劃出一道弧線,身後拖著柔和的青色尾巴。",彗星,"前端的光球缓缓划出一道弧线,身后拖着柔和的青色尾巴。",コメット,先頭の光球がゆっくりと長い弧を描き、淡いシアンの尾を引く。,혜성,"앞선 빛 구체가 느리게 긴 호를 그리며, 부드러운 청록 꼬리를 남깁니다."
lu-10-lattice,Lattice,"Two squares cross through one another, an eight-pointed light caught mid-rotation.",經緯,"兩個正方形彼此交疊,定格在八芒光體緩慢旋轉的瞬間。",经纬,"两个正方形彼此交叠,定格在八芒光体缓慢旋转的瞬间。",格子,二つの正方形が交差し、八方の光が回転の途中で止まる。,격자,"두 정사각형이 서로 교차하며, 회전을 멈춘 듯한 여덟 갈래 빛이 됩니다."
lu-11-prism,Prism,A clean triangular outline holds a smaller triangle of solid violet within.,稜光,"乾淨的三角輪廓內,藏著一個更小的紫色實心三角。",棱光,"干净的三角轮廓内,藏着一个更小的紫色实心三角。",プリズム,澄んだ三角形の輪郭の中に、紫の塗りの小さな三角が宿る。,프리즘,깔끔한 삼각형 윤곽 안에 보랏빛으로 채워진 작은 삼각형이 숨어 있습니다.
lu-12-shard,Shard,A five-sided plate of violet light with an inner edge that hums faintly.,稜片,"一面五邊形的紫色光板,內緣帶著輕微的振動。",棱片,"一面五边形的紫色光板,内缘带着轻微的振动。",シャード,五角形の紫の光板。内縁がかすかに震えている。,샤드,"오각형 모양의 보랏빛 패널, 안쪽 가장자리가 살짝 떨립니다."
lu-13-rosa,Rosa,A magenta halo that warms slightly when more than one visitor passes underneath.,玫瑰光,"一圈洋紅色光環,當不止一位訪客經過時會略微變亮。",玫瑰光,"一圈洋红色光环,当不止一位访客经过时会略微变亮。",ローザ,マゼンタのヘイロー。複数の来場者が下を通ると、わずかに明るくなる。,장미빛,"마젠타 헤일로, 둘 이상의 방문객이 지나가면 조금씩 더 밝아집니다."
lu-14-fold,Fold,Four magenta lobes lean inward as if folded by an unseen hand.,摺光,"四片洋紅色光瓣向內微微傾斜,彷彿被無形的手摺了一摺。",折光,"四片洋红色光瓣向内微微倾斜,仿佛被无形的手折了一折。",フォールド,マゼンタの四片が、見えない手に折られたように内側へ寄る。,접힘,"보이지 않는 손이 접은 듯, 마젠타 네 잎이 안쪽으로 살짝 기웁니다."
lu-15-spire,Spire,A vertical magenta column capped by twin orbs — easy to find at full height.,光柱,"一道直立的洋紅色光柱,兩端各有一顆光球,直接抬頭就能看見。",光柱,"一道直立的洋红色光柱,两端各有一颗光球,直接抬头就能看见。",スパイア,両端に光球を載せたマゼンタの柱。立ち上がるとすぐに見つかる。,스파이어,"양 끝에 빛 구슬을 단 마젠타 기둥, 올려다보면 바로 눈에 띕니다."
lu-16-vesper,Vesper,Six violet rays settle into the slow rhythm of an evening bell.,晚禱光,"六道紫色光臂,以晚鐘般的緩慢節奏漸漸停穩。",晚祷光,"六道紫色光臂,以晚钟般的缓慢节奏渐渐停稳。",ヴェスパー,六本の紫の光が、夕の鐘のようなゆるやかな拍に落ち着く。,베스퍼,여섯 갈래 보랏빛이 저녁 종소리 같은 느린 박자로 가라앉습니다.
lu-17-vault,Vault,An eight-pointed magenta star that fills the small ceiling vault on this floor.,穹頂光,"一顆八芒洋紅色星光,正好填滿這層小拱頂。",穹顶光,"一颗八芒洋红色星光,正好填满这层小拱顶。",ヴォルト,八方に広がるマゼンタの星。フロアの小さな天井をぴたりと埋める。,볼트,여덟 갈래 마젠타 별빛이 이 층의 작은 둥근 천장을 가득 채웁니다.
lu-18-cadence,Cadence,"Three violet bands rise and fall in a steady, almost-breathing rhythm.",節律,三條紫色波帶以近似呼吸的節奏上下起伏。,节律,三条紫色波带以近似呼吸的节奏上下起伏。,ケイデンス,三本の紫の帯が、呼吸に近いリズムで上下する。,케이던스,세 줄의 보랏빛 띠가 호흡에 가까운 리듬으로 오르내립니다.
lu-19-fern,Fern,"A mint-green core with a quieter inner highlight, planted by the stairwell.",蕨光,"一顆薄荷綠色光核,內側有更安靜的光點,擺在樓梯旁。",蕨光,"一颗薄荷绿色光核,内侧有更安静的光点,摆在楼梯旁。",シダの灯,ミントグリーンの核と、内側にひそめたハイライト。階段の脇に置かれる。,고사리빛,"민트빛 알갱이와 그 안의 잔잔한 하이라이트, 계단 옆에 자리 잡고 있습니다."
lu-20-meadow,Meadow,A small constellation of mint motes — like fireflies above a still field.,草原光,"幾粒薄荷色微塵,如同靜夜草原上方的螢火。",草原光,"几粒薄荷色微尘,如同静夜草原上方的萤火。",メドウ,ミントの粒たちの小さな星座。静かな草原に浮かぶ蛍のよう。,초원빛,"민트빛 작은 점들의 별자리, 고요한 들판 위 반딧불 같습니다."
lu-21-pact,Pact,A mint pentagonal plate that brightens for a moment when two visitors stand near it together.,盟光,"一面薄荷色五邊形光板,當兩位訪客同時靠近時會亮一下。",盟光,"一面薄荷色五边形光板,当两位访客同时靠近时会亮一下。",パクト,ミントの五角板。二人の来場者が同時に近づくと、ひと呼吸ぶんだけ明るくなる。,팩트,"민트색 오각형 패널, 두 사람이 동시에 다가서면 잠깐 더 밝아집니다."
lu-22-vigil,Vigil,A late-evening specimen: a single violet streak that travels slowly across the corner.,守夜光,"一道夜深時才出現的紫色光跡,緩緩劃過轉角。",守夜光,"一道夜深时才出现的紫色光迹,缓缓划过转角。",ヴィジル,夜更けに現れる紫の一筋。コーナーをゆっくり横切っていく。,비질,"늦은 저녁에만 나타나는 보랏빛 한 줄기, 모서리를 천천히 건너갑니다."
